nombre,nombre_src,qid,eswiki,lat,lon,fiabilidad,fuente,pob_-3000,pob_-2500,pob_-2000,pob_-1600,pob_-1350,pob_-1200,año_-3000,año_-2500,año_-2000,año_-1600,año_-1350,año_-1200,nota
Dilmún,Dilmun,Q748846,Dilmún,26.12163972,50.49894117,1,Reba–Seto 2016 (modelski),,,10000,,,,,,-1900,,,,QID sin coordenadas en Wikidata; posición de Reba–Seto
Dur-Kurigalzu,Dur-Kurigalzu,Q622719,Dur-Kurigalzu,33.35355825,44.20235367,1,Reba–Seto 2016 (chandler),,,,,40000,40000,,,,,-1360,-1200,
Ebla,Ebla,Q5743,Ebla,35.79839754,36.79872812,1,Reba–Seto 2016 (modelski+chandler),,30000,10000,10000,,,,-2500,-1900,-1700,,,
Elefantina,Elephantine,Q284009,Elefantina,24.083333,32.883333,1,Reba–Seto 2016 (modelski),,,16000,16000,,,,,-1900,-1700,,,
Eridu,Eridu,Q210065,Eridu,30.8158379,45.99607031,1,Reba–Seto 2016 (modelski),10000,,,,,,-3000,,,,,,
Erlitou,Erlitou,Q2692927,,34.701758,112.697078,1,Reba–Seto 2016 (modelski),,,,40000,,,,,,-1700,,,
Eshnunna,Eshnunna,Q375685,Ešnunna,33.484167,44.728333,1,Reba–Seto 2016 (modelski),,,10000,10000,,,,,-1800,-1800,,,
Harappa,Harappa,Q185562,Harappa,30.62983646,72.86614561,1,Reba–Seto 2016 (modelski),,15000,10000,,,,,-2500,-2000,,,,
Hattusa,Hattusa,Q181007,Hattusa,40.019722,34.615278,1,Reba–Seto 2016 (modelski+chandler),,,,30000,45000,60000,,,,-1600,-1360,-1200,
Heliópolis,Heliopolis,Q191687,Heliópolis,30.129528,31.288889,3,Reba–Seto 2016 (modelski+chandler),,10000,,,30000,30000,,-2400,,,-1360,-1200,geocodificado dudoso (fiabilidad 3)
Hermópolis Magna,Hermopolis,Q732908,Hermópolis Magna,27.781389,30.803889,1,Reba–Seto 2016 (modelski),,,,,30000,30000,,,,,-1300,-1200,
Isín,Isin,Q501259,Isin,31.88487801,45.2692575,1,Reba–Seto 2016 (modelski),,,40000,20000,,40000,,,-2000,-1800,,-1200,
Jarkutan,Jarkutan,Q1265824,,39.750833,68.775833,3,Reba–Seto 2016 (modelski),,,,,20000,,,,,,-1400,,Wikidata sitúa la ciudad a 2.5° de Reba–Seto; geocodificado dudoso (fiabilidad 3)
Jasor,Hazor,Q740138,Jasor,33.01745538,35.5685014,1,Reba–Seto 2016 (modelski+chandler),,,16000,20000,24000,,,,-1800,-1600,-1360,,
Karkemish,Carchemish,Q283680,Karkemish,36.829722,38.015,1,Reba–Seto 2016 (modelski),,,,20000,10000,,,,,-1600,-1400,,
Kish,Kish,Q132272,Kish,32.55217989,44.5856425,1,Reba–Seto 2016 (modelski+chandler),30000,20000,,,,,-2800,-2500,,,,,
Lagash,Lagash,Q207330,Lagash,31.41480316,46.40981591,1,Reba–Seto 2016 (modelski),,60000,,,,,,-2500,,,,,
Larak,Larak,Q3217825,,32.31273751,45.66099799,1,Reba–Seto 2016 (modelski),10000,10000,,,,,-3000,-2500,,,,,QID sin coordenadas en Wikidata; posición de Reba–Seto
Larsa,Larsa,Q244746,Larsa,31.28397535,45.85304653,1,Reba–Seto 2016 (modelski),16000,10000,40000,40000,,,-2800,-2500,-2000,-1800,,,
Luoyang,Luoyang,Q187136,Luoyang,34.669722,112.442222,1,Reba–Seto 2016 (modelski+chandler),,,,,,50000,,,,,,-1000,
Mari,Mari,Q244762,Mari (ciudad),34.54962872,40.88925833,1,Reba–Seto 2016 (modelski),10000,50000,30000,60000,,,-2800,-2500,-2000,-1800,,,
Menfis,Memphis,Q5715,Menfis,30.06263,31.24967,1,Reba–Seto 2016 (modelski+chandler),,30000,60000,30000,32000,75000,,-2500,-2000,-1800,-1360,-1200,
Micenas,Mycenae,Q132564,Micenas,37.73038721,22.75788116,1,Reba–Seto 2016 (modelski+chandler),,,,,30000,30000,,,,,-1360,-1200,
Mohenjo-Daro,Mohenjodaro,Q5725,Mohenjo-Daro,27.32533494,68.13293014,1,Reba–Seto 2016 (modelski+chandler),,20000,10000,20000,,,,-2500,-2000,-1800,,,
Mundigak,Mundigak,Q6935822,Mundigak,31.90671754,65.49785591,1,Reba–Seto 2016 (modelski),,,10000,10000,,,,,-2000,-1800,,,
Namazga-Tepe,Namazga-Tepe,Q203663,,37.372778,59.556944,1,Reba–Seto 2016 (modelski),,10000,10000,,,,,-2400,-2000,,,,
Navarino,Navarino,Q3904982,,36.916667,21.7,1,Reba–Seto 2016 (modelski),,,,,,10000,,,,,,-1200,
Ngirsu,Girsu,Q853946,Ngirsu,31.56002579,46.1754283,1,Reba–Seto 2016 (modelski),,40000,40000,,,,,-2400,-2000,,,,
Nina,Nina,Q110853381,,31.411389,46.407222,3,Reba–Seto 2016 (modelski),,,10000,,,,,,-2000,,,,geocodificado dudoso (fiabilidad 3)
Nippur,Nippur,Q188395,Nippur,32.12693858,45.23078534,1,Reba–Seto 2016 (modelski+chandler),10000,20000,30000,20000,20000,20000,-3000,-2500,-2000,-1800,-1400,-1200,
Nínive,Nineveh,Q5680,Nínive,36.359444,43.152778,1,Reba–Seto 2016 (modelski+chandler),,,,10000,10000,10000,,,,-1600,-1400,-1200,
Pi-Ramsés,Pi-Ramesses,Q937930,Pi-Ramsés,30.798889,31.835833,2,Reba–Seto 2016 (modelski),,,,,,160000,,,,,,-1200,
Pionyang,Pyongyang,Q18808,Pionyang,39.03385,125.75432,1,Reba–Seto 2016 (chandler),,,,,,25000,,,,,,-1000,Chandler da población en el Bronce a Pyongyang; sin respaldo arqueológico conocido
Qatna,Qatna,Q630734,Qatna,34.835,36.865833,1,Reba–Seto 2016 (modelski),,,20000,20000,,,,,-1800,-1600,,,
Rakhigarhi,Rakhigarhi,Q3418050,Rakhigarhi,29.288611,76.113056,1,Reba–Seto 2016 (modelski),,10000,10000,,,,,-2300,-2000,,,,
Sanxingdui,Sanxingdui,Q929072,Sanxingdui,30.993,104.2,1,Reba–Seto 2016 (modelski),,,,,,35000,,,,,,-1200,
Sapinuwa,Sapinuwa,Q3620,Sapinuwa,40.266667,35.25,1,Reba–Seto 2016 (modelski),,,,,75000,60000,,,,,-1300,-1200,
Shahr-i Sokhta,Shahr-e Sukhteh,Q1025825,Shahr-i Sokhta,30.595278,61.326389,1,Reba–Seto 2016 (modelski),,20000,,,,,,-2500,,,,,
Shurupak,Shuruppak,Q392725,Shurupak,31.77736278,45.50976115,1,Reba–Seto 2016 (modelski),30000,30000,,,,,-2800,-2500,,,,,
Susa,Susa,Q180773,Susa,32.19085,48.246028,1,Reba–Seto 2016 (modelski+chandler),,10000,25000,10000,10000,20000,,-2400,-2000,-1600,-1400,-1200,
Tanis,Tanis,Q210598,Tanis (Egipto),30.976944,31.88,1,Reba–Seto 2016 (modelski),,,,,,35000,,,,,,-1000,
Tebas,Thebes,Q101583,Tebas (Egipto),25.720556,32.610278,1,Reba–Seto 2016 (modelski+chandler),,,10000,10000,80000,150000,,,-1800,-1600,-1360,-1200,
Tell Brak,Nagar,Q978443,Tell Brak,36.66739231,41.05865393,1,Reba–Seto 2016 (modelski),20000,15000,10000,,,,-3000,-2500,-2100,,,,
Tell Leilan,Shehna,Q588192,Tell Leilan,36.957222,41.505278,3,Reba–Seto 2016 (modelski),,10000,10000,10000,,,,-2500,-1800,-1800,,,geocodificado dudoso (fiabilidad 3)
Tell Taya,Tell Taya,Q7697518,,36.33261877,42.4937529,1,Reba–Seto 2016 (modelski),,15000,,,,,,-2300,,,,,
Tiro,Tyre,Q82070,Tiro,33.27333,35.19389,1,Reba–Seto 2016 (modelski+chandler),,,,,,10000,,,,,,-1000,
Titris Hoyuk,Titris Hoyuk,Q6100053,,37.47622,38.676116,3,Reba–Seto 2016 (modelski),,10000,10000,,,,,-2300,-2200,,,,geocodificado dudoso (fiabilidad 3)
Troya,Troy,Q22647,Troya,39.9575,26.238889,1,Reba–Seto 2016 (modelski),,,,,10000,,,,,,-1300,,
Ugarit,Ugarit,Q191369,Ugarit,35.60228865,35.78656277,1,Reba–Seto 2016 (modelski+chandler),,,,,24000,10000,,,,,-1360,-1200,
Umma,Umma,Q740952,Umma (ciudad),31.6211048,45.93344587,1,Reba–Seto 2016 (modelski),20000,40000,25000,40000,,,-2800,-2500,-2000,-1800,,,
Ur,Ur,Q5699,Ur,30.962659,46.10321,1,Reba–Seto 2016 (modelski+chandler),12000,10000,20000,,,,-2800,-2500,-2000,,,,
Urkesh,Urkesh,Q1758030,Urkesh,37.056944,40.997222,3,Reba–Seto 2016 (modelski),10000,30000,,,,,-2800,-2500,,,,,geocodificado dudoso (fiabilidad 3)
Uruk,Uruk,Q168518,Uruk,31.322222,45.636111,1,Reba–Seto 2016 (modelski+chandler),40000,40000,30000,,25000,,-3000,-2500,-2000,,-1360,,
Yin Xu,Yin,Q464904,Yin Xu,36.139444,114.303056,1,Reba–Seto 2016 (modelski),,,,,120000,120000,,,,,-1300,-1200,
Zabalam,Zabalam,Q1074177,Zabalam,31.743333,45.876667,2,Reba–Seto 2016 (modelski),10000,10000,10000,10000,,,-2800,-2500,-2000,-1800,,,
